"nid","Sequence","Judge.Name","Other.Nominations.Recess.Appointments"
1377591,1,"Bazelon, David L.","Nominated to U.S. Court of Appeals for the District of Columbia Circuit, October 15, 1949; no Senate vote"
1392016,1,"Bea, Carlos T.","Nominated to U.S. District Court for the Northern District of California, November 20, 1991; no Senate vote"
1377616,1,"Beatty, James Helmick","Nominated to U.S. District Court for the District of Idaho, February 10, 1891; no Senate vote"
1377626,1,"Beaty, James A., Jr.","Nominated to U.S. Court of Appeals for the Fourth Circuit, December 22, 1995; no Senate vote"
1377626,2,"Beaty, James A., Jr.","Nominated to U.S. Court of Appeals for the Fourth Circuit, January 7, 1997; no Senate vote"
5018781,1,"Beaverstock, Jeffrey Uhlman","Nominated to U.S. District Court for the Southern District of Alabama, September 7, 2017; no Senate vote"
13761516,1,"Becerra, Jacqueline","Nominated to U.S. District Court for the Southern District of Florida, November 6, 2023; no Senate vote"
1377666,1,"Bee, Thomas","Nominated to be chief judge of the U.S. Circuit Court for the Fifth Circuit, February 21, 1801; confirmed, February 24, 1801; declined appointment"
1377691,1,"Bell, Griffin Boyette","Nominated to U.S. Court of Appeals for the Fifth Circuit, September 20, 1961; no Senate vote"
6489616,1,"Bell, Kenneth Davis, Sr.","Nominated to U.S. District Court for the Western District of North Carolina, April 12, 2018; no Senate vote"
13233251,1,"Benjamin, DeAndrea Gist","Nominated to U.S. Court of Appeals for the Fourth Circuit, September 6, 2022; no Senate vote"
1394771,1,"Bennett, Alfred Homer","Nominated to U.S. District Court for the Southern District of Texas, September 18, 2014; no Senate vote"
6801611,1,"Berger, Wendy Williams","Nominated to U.S. District Court for the Middle District of Florida, April 10, 2018; no Senate vote"
13761561,1,"Berner, Nicole Gina","Nominated to U.S. Court of Appeals for the Fourth Circuit, November 27, 2023; no Senate vote"
1391116,1,"Berzon, Marsha Siegel","Nominated to U.S. Court of Appeals for the Ninth Circuit, January 27, 1998; no Senate vote"
1392311,1,"Bianco, Joseph Frank","Nominated to U.S. Court of Appeals for the Second Circuit, November 13, 2018; no Senate vote"
1377821,1,"Bilby, Richard Mansfield","Nominated to U.S. Court of Appeals for the Ninth Circuit, August 3, 1976; no Senate vote"
1377826,1,"Billings, Edward Coke","Nominated to U.S. Circuit Courts for the Fifth Circuit, January 24, 1881; no Senate vote"
1393816,1,"Bissoon, Cathy","Nominated to U.S. District Court for the Western District of Pennsylvania, November 17, 2010; no Senate vote"
13760736,1,"Bloomekatz, Rachel Sarah","Nominated to U.S. Court of Appeals for the Sixth Circuit, May 25, 2022; no Senate vote"
8895341,1,"Blumenfeld, Stanley, Jr.","Nominated to U.S. District Court for the Central District of California, November 13, 2018; no Senate vote"
8895341,2,"Blumenfeld, Stanley, Jr.","Nominated to U.S. District Court for the Central District of California, February 6, 2019; no Senate vote"
1393651,1,"Boasberg, James Emanuel","Nominated to U.S. District Court for the District of Columbia, June 17, 2010; no Senate vote"
1377976,1,"Boggs, Danny Julian","Nominated to U.S. Court of Appeals for the Sixth Circuit, December 9, 1985; no Senate vote"
1378011,1,"Bonner, Robert C.","Nominated to U.S. District Court for the Central District of California, June 15, 1988; no Senate vote"
1378016,1,"Bonsal, Dudley Baldwin","Nominated to U.S. District Court for the Southern District of New York, September 23, 1961; no Senate vote"
1393206,1,"Booth, Fenton Whitlock","Nominated to be chief justice of the Court of Claims, January 2, 1913; no Senate vote"
1378041,1,"Boreman, Herbert Stephenson","Received recess appointment to U.S. Court of Appeals for the Fourth Circuit, October 17, 1958; declined appointment"
1378046,1,"Bork, Robert Heron","Nominated to Supreme Court of the United States, July 7, 1987; rejected by Senate, October 23, 1987"
6595551,1,"Boulee, Jean-Paul","Nominated to U.S. District Court for the Northern District of Georgia, August 28, 2018; no Senate vote"
1391331,1,"Bowdre, Karon O.","Nominated to U.S. District Court for the Northern District of Alabama, August 2, 2001; no Senate vote"
1378126,1,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, October 22, 1991; no Senate vote"
1378126,2,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, May 9, 2001; no Senate vote"
1378126,3,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, September 4, 2001; no Senate vote"
1378126,4,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, January 7, 2003; no Senate vote"
1378126,5,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, February 14, 2005; no Senate vote"
1378126,6,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, September 5, 2006; no Senate vote"
1378126,7,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, November 15, 2006; no Senate vote"
6278456,1,"Brady, Holly Ann","Nominated to U.S. District Court for the Northern District of Indiana, April 10, 2018; no Senate vote"
4237586,1,"Branch, Elizabeth Lee","Nominated to U.S. Court of Appeals for the Eleventh Circuit, September 7, 2017; no Senate vote"
6383991,1,"Brasher, Andrew Lynn","Nominated to U.S. District Court for the Middle District of Alabama, April 10, 2018; no Senate vote"
6383991,2,"Brasher, Andrew Lynn","Nominated to U.S. Court of Appeals for the Eleventh Circuit, November 21, 2019; no Senate vote"
1391771,1,"Breen, J. Daniel","Nominated to U.S. District Court for the Western District of Tennessee, October 10, 2002; no Senate vote"
11442236,1,"Brennan, Bridget Meehan","Nominated to U.S. District Court for the Northern District of Ohio, September 30, 2021; no Senate vote"
4602991,1,"Brennan, Michael Brian","Nominated to U.S. Court of Appeals for the Seventh Circuit, August 3, 2017; no Senate vote"
1378231,1,"Brewster, Leo","Nominated to U.S. District Court for the Northern District of Texas, September 25, 1961; no Senate vote"
1393671,1,"Briccetti, Vincent Louis","Nominated to U.S. District Court for the Southern District of New York, November 17, 2010; no Senate vote"
13761456,1,"Brisco, Cristal C.","Nominated to U.S. District Court for the Northern District of Indiana, November 27, 2023; no Senate vote"
1394376,1,"Brooks, Timothy Lloyd","Nominated to U.S. District Court for the Western District of Arkansas, June 7, 2013; no Senate vote"
1378371,1,"Brown, Arthur Lewis","Nominated to U.S. Court of Appeals for the First Circuit, February 10, 1913; no Senate vote"
7545476,1,"Brown, Gary Richard","Nominated to U.S. District Court for the Eastern District of New York, July 30, 2015; no Senate vote"
7545476,2,"Brown, Gary Richard","Nominated to U.S. District Court for the Eastern District of New York, May 15, 2018; no Senate vote"
1392276,1,"Brown, Janice Rogers","Nominated to U.S. Court of Appeals for the District of Columbia Circuit, July 25, 2003; no Senate vote"
1378436,1,"Brunetti, Melvin T.","Nominated to U.S. Court of Appeals for the Ninth Circuit, October 5, 1984; no Senate vote"
1378466,1,"Bryan, Robert Jensen","Nominated to U.S. District Court for the Western District of Washington, December 4, 1985; no Senate vote"
1392556,1,"Bryant, Vanessa Lynne","Nominated to U.S. District Court for the District of Connecticut, January 25, 2006; no Senate vote"
1378496,1,"Bua, Nicholas John","Nominated to U.S. Court of Appeals for the Seventh Circuit, September 10, 1980; no Senate vote"
6801616,1,"Buescher, Brian Craig","Nominated to U.S. District Court for the District of Nebraska, November 13, 2018; no Senate vote"
7499211,1,"Bumatay, Patrick Joseph","Nominated to U.S. Court of Appeals for the Ninth Circuit, November 13, 2018; no Senate vote"
7499211,2,"Bumatay, Patrick Joseph","Nominated to U.S. District Court for the Southern District of California, February 6, 2019; withdrawn by president, October 15, 2019"
1391431,1,"Bunning, David L.","Nominated to U.S. District Court for the Eastern District of Kentucky, August 2, 2001; no Senate vote"
1378561,1,"Burger, Warren Earl","Nominated to U.S. Court of Appeals for the District of Columbia Circuit, June 21, 1955; no Senate vote"
5373561,1,"Burke, Liles Clifton","Nominated to U.S. District Court for the Northern District of Alabama, July 19, 2017; no Senate vote"
1378596,1,"Burns, Owen McIntosh","Nominated to U.S. District Court for the Western District of Pennsylvania, October 15, 1949; no Senate vote"
1378626,1,"Busteed, Richard","Nominated to Supreme Court of the District of Columbia (now U.S. District Court for the District of Columbia), January 13, 1873; Senate returned nomination to president, February 13, 1873"
1378641,1,"Butler, Pierce","Nominated to Supreme Court of the United States, November 21, 1922; no Senate vote"
1391741,1,"Bybee, Jay S.","Nominated to U.S. Court of Appeals for the Ninth Circuit, May 22, 2002; no Senate vote"
1378671,1,"Byrne, William Matthew, Jr.","Nominated to U.S. District Court for the Central District of California, October 1, 1968; no Senate vote"
1378671,2,"Byrne, William Matthew, Jr.","Nominated to U.S. District Court for the Central District of California, January 9, 1969; nomination withdrawn by president, January 23, 1969"
1378666,1,"Byrne, William Matthew, Sr.","Nominated to U.S. District Court for the Southern District of California, September 1, 1950; no Senate vote"
1378701,1,"Caffey, Francis Gordon","Nominated to U.S. District Court for the Southern District of New York, March 1, 1929; no Senate vote"
1378706,1,"Caffrey, Andrew Augustine","Nominated to U.S. District Court for the District of Massachusetts, July 1, 1960; no Senate vote"
6631566,1,"Cain, James David, Jr.","Nominated to U.S. District Court for the Western District of Louisiana, August 28, 2018; no Senate vote"
13268821,1,"Calabretta, Daniel Joe Powell","Nominated to U.S. District Court for the Eastern District of California, August 1, 2022; no Senate vote"
1391306,1,"Caldwell, Karen K.","Nominated to U.S. District Court for the Eastern District of Kentucky, August 2, 2001; no Senate vote"
11690376,1,"Calvert, Victoria Marie","Nominated to U.S. District Court for the Northern District of Georgia, September 30, 2021; no Senate vote"
1394266,1,"Caproni, Valerie Elaine","Nominated to U.S. District Court for the Southern District of New York, November 14, 2012; no Senate vote"
1378851,1,"Carnes, Julie E.","Nominated to U.S. Court of Appeals for the Eleventh Circuit, December 19, 2013; no Senate vote"
1391806,1,"Carney, Cormac J.","Nominated to U.S. District Court for the Central District of California, October 10, 2002; no Senate vote"
1393711,1,"Carney, Susan Laura","Nominated to U.S. Court of Appeals for the Second Circuit, May 20, 2010; no Senate vote"
1378856,1,"Carpenter, George Albert","Nominated to U.S. Court of Appeals for the Seventh Circuit, December 17, 1912; no Senate vote"
1378896,1,"Carswell, George Harrold","Nominated to Supreme Court of the United States, January 19, 1970; rejected by Senate, April 8, 1970"
1378911,1,"Carter, Oliver Jesse","Nominated to U.S. District Court for the Northern District of California, September 1, 1950; no Senate vote"
13760706,1,"Cartwright, Tiffany Mae","Nominated to U.S. District Court for the Western District of Washington, January 19, 2022; no Senate vote"
1390446,1,"Casey, Richard Conway","Nominated to U.S. District Court for the Southern District of New York, July 2, 1992; no Senate vote"
1391536,1,"Cassell, Paul G.","Nominated to U.S. District Court for the District of Utah, June 19, 2001; no Senate vote"
11732411,1,"Castner, Georgette","Nominated to U.S. District Court for the District of New Jersey, November 3, 2021; no Senate vote"
1393716,1,"Cecchi, Claire Claudia","Nominated to U.S. District Court for the District of New Jersey, December 1, 2010; no Senate vote"
1378976,1,"Cecil, Lamar John Ryan","Nominated to U.S. District Court for the Eastern District of Texas, August 19, 1954; no Senate vote"
1378986,1,"Cedarbaum, Miriam Goldman","Nominated to U.S. District Court for the Southern District of New York, December 4, 1985; no Senate vote"
1391586,1,"Cercone, David S.","Nominated to U.S. District Court for the Western District of Pennsylvania, July 27, 2000; no Senate vote"
1379006,1,"Chandler, Stephen Sanders, Jr.","Nominated to U.S. District Court for the Western District of Oklahoma, December 11, 1942; no Senate vote"
1394206,1,"Chappell, Sheri Polster","Nominated to U.S. District Court for the Middle District of Florida, June 25, 2012; no Senate vote"
1379041,1,"Chatfield, Thomas","Nominated to U.S. District Court for the Eastern District of New York, December 10, 1906; nomination withdrawn by president, December 17, 1906"
1379036,1,"Chatigny, Robert N.","Nominated to U.S. Court of Appeals for the Second Circuit, February 24, 2010; no Senate vote"
1379036,2,"Chatigny, Robert N.","Nominated to U.S. Court of Appeals for the Second Circuit, September 13, 2010; no Senate vote"
1393696,1,"Chen, Edward Milton","Nominated to U.S. District Court for the Northern District of California, August 6, 2009; no Senate vote"
1393696,2,"Chen, Edward Milton","Nominated to U.S. District Court for the Northern District of California, January 20, 2010; no Senate vote"
1393696,3,"Chen, Edward Milton","Nominated to U.S. District Court for the Northern District of California, September 13, 2010; no Senate vote"
1394131,1,"Chen, Pamela Ki Mai","Nominated to U.S. District Court for the Eastern District of New York, August 2, 2012; no Senate vote"
1390416,1,"Cheney, John Moses","Nominated to U.S. District Court for the Southern District of Florida, July 25, 1912; no Senate vote"
1390416,2,"Cheney, John Moses","Nominated to U.S. District Court for the Southern District of Florida, December 3, 1912; no Senate vote"
1379046,1,"Chesney, Maxine M.","Nominated to U.S. District Court for the Northern District of California, September 14, 1994; no Senate vote"
1394381,1,"Chhabria, Vince Girdhari","Nominated to U.S. District Court for the Northern District of California, July 25, 2013; no Senate vote"
13706601,1,"Choudhury, Nusrat Jahan","Nominated to U.S. District Court for the Eastern District of New York, January 19, 2022; no Senate vote"
1394471,1,"Chuang, Theodore David","Nominated to U.S. District Court for the District of Maryland, September 25, 2013; no Senate vote"
11695891,1,"Chun, John Hyungseung","Nominated to U.S. District Court for the Western District of Washington, September 30, 2021; no Senate vote"
13257261,1,"Chung, Cindy Kyounga","Nominated to U.S. Court of Appeals for the Third Circuit, July 12, 2022; no Senate vote"
1394546,1,"Chutkan, Tanya Sue","Nominated to U.S. District Court for the District of Columbia, December 19, 2013; no Senate vote"
1379111,1,"Cindrich, Robert J.","Nominated to U.S. Court of Appeals for the Third Circuit, February 9, 2000; no Senate vote"
6489106,1,"Clark, Stephen Robert, Sr.","Nominated to U.S. District Court for the Eastern District of Missouri, April 12, 2018; no Senate vote"
13408976,1,"Clarke, Jessica Gloria Lynn","Nominated to U.S. District Court for the Southern District of New York, December 15, 2021; no Senate vote"
1379201,1,"Clary, Thomas James","Nominated to U.S. District Court for the Eastern District of Pennsylvania, October 15, 1949; no Senate vote"
1390456,1,"Clay, Eric L.","Nominated to U.S. Court of Appeals for the Sixth Circuit, March 6, 1996; no Senate vote"
1379206,1,"Clay, Joseph, Jr.","Nominated to U.S. Circuit Court for the Fifth Circuit, February 21, 1801; confirmed, February 24, 1801; declined appointment"
1379226,1,"Clement, Edith Brown","Nominated to U.S. Court of Appeals for the Fifth Circuit, May 9, 2001; no Senate vote"
1391546,1,"Clifton, Richard R.","Nominated to U.S. Court of Appeals for the Ninth Circuit, June 22, 2001; no Senate vote"
1379266,1,"Cobb, Howell","Nominated to U.S. District Court for the Eastern District of Texas, September 10, 1984; no Senate vote"
1393646,1,"Cogburn, Max Oliver, Jr.","Nominated to U.S. District Court for the Western District of North Carolina, May 27, 2010; no Senate vote"
4020796,1,"Coggins, Donald Cecil, Jr.","Nominated to U.S. District Court for the District of South Carolina, February 25, 2016; no Senate vote"
1394651,1,"Cohen, Mark Howard","Nominated to U.S. District Court for the Northern District of Georgia, December 19, 2013; no Senate vote"
6480596,1,"Collins, Daniel Paul","Nominated to U.S. Court of Appeals for the Ninth Circuit, November 13, 2018; no Senate vote"
1379361,1,"Collins, Robert Frederick","Nominated to U.S. District Court for the Eastern District of Louisiana, November 2, 1977; no Senate vote"
7545466,1,"Colville, Robert John","Nominated to U.S. District Court for the Western District of Pennsylvania, July 30, 2015; no Senate vote"
1391991,1,"Conrad, Glen Edward","Nominated to U.S. Court of Appeals for the Fourth Circuit, May 8, 2008; no Senate vote"
1392261,1,"Conrad, Robert James, Jr.","Nominated to U.S. District Court for the Western District of North Carolina, April 28, 2003; no Senate vote"
1392261,2,"Conrad, Robert James, Jr.","Nominated to U.S. Court of Appeals for the Fourth Circuit, July 17, 2007; no Senate vote"
1391826,1,"Cook, Deborah L.","Nominated to U.S. Court of Appeals for the Sixth Circuit, May 9, 2001; no Senate vote"
