"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
1379401,1,"Conger, Edward A.","New York University School of Law",""," "
1379401,2,"Conger, Edward A.","Read law","","1904"
1379406,1,"Conkling, Alfred","Union College","","1810"
1379406,2,"Conkling, Alfred","Read law","","1812"
1392996,1,"Conley, William Martin","University of Wisconsin","B.A.","1978"
1392996,2,"Conley, William Martin","University of Wisconsin Law School","J.D.","1982"
1379411,1,"Conlon, Suzanne B.","Mundelein College","B.A.","1963"
1379411,2,"Conlon, Suzanne B.","Loyola University Chicago School of Law","J.D.","1968"
1379411,3,"Conlon, Suzanne B.","University of London","Diploma in Foreign and Comparative Law","1971"
1379416,1,"Conmy, Patrick Anthony","Harvard College","B.A.","1955"
1379416,2,"Conmy, Patrick Anthony","Georgetown College (now Georgetown University) Law Center","J.D.","1959"
1379421,1,"Connally, Ben Clarkson","University of Texas","B.A.","1930"
1379421,2,"Connally, Ben Clarkson","University of Texas School of Law","LL.B.","1933"
1379421,3,"Connally, Ben Clarkson","Harvard Law School","LL.M.","1934"
1379426,1,"Connell, James C.","John Marshall School of Law (now Cleveland-Marshall College of Law)","LL.B.","1918"
1391551,1,"Conner, Christopher C.","Cornell University","B.A.","1979"
1391551,2,"Conner, Christopher C.","Dickinson School of Law (now Penn State Dickinson Law)","J.D.","1982"
1379436,1,"Conner, William Curtis","University of Texas","B.B.A.","1941"
1379436,2,"Conner, William Curtis","University of Texas School of Law","LL.B.","1942"
5018791,1,"Connolly, Colm Felix","University of Notre Dame","B.A.","1986"
5018791,2,"Connolly, Colm Felix","London School of Economics and Political Science","M.Sc.","1987"
5018791,3,"Connolly, Colm Felix","Duke University School of Law","J.D.","1991"
1379441,1,"Connor, Aloysius Joseph","Catholic University of America, Columbus School of Law","LL.B.","1918"
1379431,1,"Connor, Henry Groves","Read law","","1871"
1391991,1,"Conrad, Glen Edward","College of William and Mary","B.A.","1971"
1391991,2,"Conrad, Glen Edward","William and Mary Law School","J.D.","1974"
1392261,1,"Conrad, Robert James, Jr.","Clemson University","B.A.","1980"
1392261,2,"Conrad, Robert James, Jr.","University of Virginia School of Law","J.D.","1983"
1391591,1,"Conti, Joy Flowers","Duquesne University","B.A.","1970"
1391591,2,"Conti, Joy Flowers","Duquesne University School of Law","J.D.","1973"
1379446,1,"Conti, Samuel","University of Santa Clara (now Santa Clara University)","B.S.","1945"
