"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
1378916,1,"Carter, Robert Lee","Lincoln University, Pennsylvania","A.B.","1937"
1378916,2,"Carter, Robert Lee","Howard University School of Law","LL.B.","1940"
1378916,3,"Carter, Robert Lee","Columbia Law School","LL.M.","1941"
1378921,1,"Cartter, David Kellogg","Read law","","1832"
13760706,1,"Cartwright, Tiffany Mae","Stanford University","B.A.","2007"
13760706,2,"Cartwright, Tiffany Mae","Stanford Law School","J.D.","2010"
1378926,1,"Casellas, Salvador E.","Georgetown College (now Georgetown University)","B.S.F.S.","1957"
1378926,2,"Casellas, Salvador E.","University of Puerto Rico School of Law","LL.B.","1960"
1378926,3,"Casellas, Salvador E.","Harvard Law School","LL.M.","1961"
1393021,1,"Casey, Joseph","Read law with Charles B. Penrose, Carlisle, Pennsylvania","","1838"
